Hole diameter (mm),Burden (m),Spacing (m),Stemming (m),Bench height (m),Charge per delay (kg),Powder factor (kg/m3),Rock density (t/m3),Flyrock distance (m),Lundborg (m),SDoB
263.7568141481963,7.146105706015596,6.188334649092164,5.4946349279275655,13.252919735595704,142.28421641665588,0.3367186183355528,2.61700476217623,329.711639271782,377.1970537513153,1.0524947391014425
193.72559390817895,5.970479934755939,3.83200592699161,2.984227921947302,10.950874901050131,45.6088610203113,0.9991550886901845,2.839675212323795,502.41649955975294,307.0604157127728,0.8352482619287293
281.4469652614789,4.22427373596858,6.984213987171435,3.955856297199931,7.050781625432283,124.3170441146659,1.188185924852333,2.8663407519727713,600.0,393.87965273269765,0.7926174237151965
247.74991807340706,6.728375003301499,4.095001796233556,2.118868853425733,19.873607804502583,323.6490091584243,0.5603895406182187,2.874031360560527,600.0,361.7774660683802,0.30861188682086177
121.68306570851875,3.42240447838536,3.426708337284992,2.0355207730657954,8.446832174150678,199.9244155425612,1.0653496142399301,2.844064788842573,600.0,225.20909643551624,0.34811301483811324
305.905071492082,6.872089172243916,6.490674834002027,4.8218128837578575,9.574318649664614,72.77124634222682,0.9625454707608623,2.538973566745527,600.0,416.380405946771,1.1549337748356112
261.0781977159838,5.949926111215068,7.587614150326395,2.473174489862403,9.302820674924648,128.48978716907553,1.1115852947587481,2.573451984093557,600.0,374.6389292773548,0.49011563270276903
266.28743980288334,3.553751591982008,8.97903114484475,4.19123294844327,18.711179693599846,381.6646054710745,0.6243724765809293,2.9652246045384336,600.0,379.60590048659867,0.5778048337633215
128.7757492291891,3.397527815461851,8.479848877680126,4.78402992884008,16.691637498129424,175.62320779895745,0.3013015048238243,2.7323162290471963,432.5667166745024,233.87756116570534,0.8542793714990848
196.13066102017353,6.754181667182312,9.000683589295837,2.128938344918557,12.402617192150712,179.43170564840676,0.31835620636492873,2.852670240766424,517.6664387427592,309.596584543674,0.3774534121795825
179.49678706460946,4.464679532519186,8.320481395746235,3.794965596582728,19.37592247532603,65.46249280746424,0.9631984204580422,2.759517407735653,600.0,291.83471537449833,0.941622867164684
295.6938826693578,7.4465092538360675,7.922675778342976,4.736607747943359,6.738967331010184,125.2989503226425,1.063331839498368,2.9547011191480905,600.0,407.06215380816656,0.9465675458999826
